restaurantName,menuName,category,price,description
Triple Monstre,Onion Rings,Entrées,3,"Beignets croustillants, oignon, sauce maison"
Triple Monstre,Cheeseburger,Plats,5,"Steak de bœuf, cheddar, ketchup, moutarde"
Triple Monstre,Croque Monsieur,Plats,6,"Jambon de pays, emmental"
Triple Monstre,Glace vanille,Desserts,2,"Vanille de Madagascar, M&Ms"
Triple Monstre,Cheesecake,Desserts,4,"Fromage à la crème, citron, génoise."
Pizza Planet,Bruschetta,Entrées,4,"Pain grillé, tomate, ail, basilic"
Pizza Planet,Margherita,Plats,9,"Mozzarella, basilic"
Pizza Planet,Pepperoni,Plats,11,"Salami épicé, mozzarella"
Pizza Planet,Chicken Supreme,Plats,11,"Poulet, poivrons, champignons"
Pizza Planet,Tiramisu,Desserts,4,"Mascarpone, boudoirs, café, cacao"
Pizza Planet,Matcha Panna Cotta,Desserts,5,"Matcha, vanille, crème"
Bistrot Henry,Salade César,Entrées,6,"Laitue, poulet, parmesan, croûtons"
Bistrot Henry,Baguette Fromage,Entrées,5,"Baguette chaude, fromage fondu, herbes"
Bistrot Henry,Coq au Vin,Plats,14,"Poulet mijoté, vin rouge, champignons"
Bistrot Henry,Crème Brûlée,Desserts,5,"Crème vanillée, sucre caramélisé"
Sakura Sushi,Sashimi Mix,Entrées,8,"Selection de poissons, citron, soja"
Sakura Sushi,Soupe Miso,Entrées,4,"Bouillon de soja, tofu, algues"
Sakura Sushi,Ramen Poulet,Plats,13,"Nouilles, bouillon, poulet, oignons"
Sakura Sushi,Maki Avocat,Plats,10,"Riz, avocat, algue, sésame"
Sakura Sushi,Mochi, Desserts,3,"Gâteau de riz, garniture douce"
Bamboo Bowl,Taboulé,Entrées,5,"Persil, menthe, tomate, citron"
Bamboo Bowl,Bowl Falafel,Plats,10,"Falafels, quinoa, légumes frais"
Bamboo Bowl,Salade Kebab,Plats,11,"Poulet grillé, salade, yaourt"
Bamboo Bowl,Brownie,Desserts,4,"Chocolat fondant, noix, cacao"
Bamboo Bowl,Granita Citron,Desserts,3,"Citron glacé, menthe"
La Belle Cuisine,Velouté de Potimarron,Entrées,6,"Potimarron, crème, épices"
La Belle Cuisine,Tagliatelles Carbonara,Plats,12,"Lardons, crème, parmesan"
La Belle Cuisine,Lasagnes Maison,Plats,13,"Viande hachée, béchamel, fromage"
La Belle Cuisine,Tarte aux Pommes,Desserts,4,"Pommes, cannelle, pâte croustillante"
La Belle Cuisine,Mini Tiramisu,Desserts,5,"Mascarpone, café, cacao"
Le Jardin Vert,Tomates Mozzarella,Entrées,7,"Tomates fraîches, mozzarella, basilic"
Le Jardin Vert,Gratin de Courgettes,Entrées,6,"Courgettes, crème, parmesan"
Le Jardin Vert,Paella Vegetarienne,Plats,13,"Riz, légumes, épices, pois chiches"
Le Jardin Vert,Filet de Poisson,Plats,15,"Poisson grillé, citron, herbes"
Le Jardin Vert,Crêpe Suzette,Desserts,5,"Crêpes, orange, beurre"
